,affiliation
0,"A*STAR"
1,"Chinese Academy of Sciences"
2,"Institute of automation, Chinese academy of science"
3,"Rutgers University"
4,"University Politehnica of Bucharest"
5,"University of British Columbia"
6,"University of North Texas"
7,"Virginia Polytechnic Institute and State University"
8,01.AI
9,A*STAR
10,ACLED
11,"AI Lab, Xiaomi Inc."
12,AI Singapore
13,AI Singapore and Ateneo de Manila University
14,AIBD
15,AIRI and Skolkovo Institute of Science and Technology
16,"AIST, National Institute of Advanced Industrial Science and Technology"
17,AISpeech Ltd
18,AImpower.org
19,AMS
20,ASAPP
21,ASAPP Inc
22,AWS AI Labs
23,Academy of Military Sciences
24,Accenture
25,Adobe Research
26,Adobe Systems
27,Adobe Systems and Northeastern University
28,Advanced Micro Devices
29,Aily Labs
30,Ailylabs
31,Aix Marseille University
32,Alan Turing Institute and University of Leeds
33,Alibaba Group
34,Alibaba Group US
35,Alibaba Group and Alibaba Group
36,Alibaba Group and Microsoft
37,Alibaba Group and Wuhan University
38,Allegheny Health Network
39,Allen Institute for Artificial Intelligence
40,Allen Institute for Artificial Intelligence and Department of Computer Science
41,"Allen Institute for Artificial Intelligence, Google DeepMind and Google"
42,Almawave
43,Amazon
44,Amazon AWS AI
45,Amazon Prime Video
46,Amazon Web Services
47,Amazon and Arizona State University
48,"Amazon and Indian Institute of Technology, Bombay"
49,Amazon and Michigan State University
50,Amazon and Tufts University
51,"Amazon and University of California, Los Angeles"
52,Amazon and University of Central Florida
53,Amazon and University of Illinois Chicago
54,Anhui University
55,Ant Group
56,"Ant Group, China"
57,Ant Research
58,AppTek
59,Appier
60,Appier Inc.
61,Apple
62,Aqxle AI
63,Arizona State University
64,Armed Conflict Location & Event Data Project (ACLED)
65,Artificial Intelligence Research Institute
66,"Artificial Intelligence Research Institute, Skolkovo Institute of Science and Technology and Institute of Numerical Mathematics"
67,AstraZeneca
68,Astrazeneca
69,Athena Research Center and George Mason University
70,Athens University of Economics and Business
71,Aurora Innovation Inc
72,Austin Peay State University
73,Australian National University and CSIRO
74,BIT
75,BRAC University
76,Baichuan Inc.
77,Baidu
78,Baidu Inc.
79,Bar Ilan University and NVIDIA
80,Bar-Ilan University
81,Barcelona Supercomputing Center
82,Bauhaus Universität Weimar
83,Bayerische Julius-Maximilians-Universität Würzburg
84,Baylor University
85,Beihang University
86,Beijing Academy of Artificial Intelligence
87,"Beijing Baichuan Intelligence Technology Co., Ltd."
88,Beijing Institute for General Artificial Intelligence
89,Beijing Institute for General Artificial Intelligence and University of Science and Technology of China
90,Beijing Institute of General Artificial Intelligence
91,Beijing Institute of Technology
92,Beijing Jiaotong University
93,"Beijing Lingxin Intelligent Technology Co., Ltd"
94,Beijing Normal University
95,Beijing University of Aeronautics and Astronautics
96,Beijing University of Chemical Technology
97,Beijing University of Post and Telecommunication
98,Beijing University of Posts and Telecommunications
99,"Beijing University of Posts and Telecommunications, Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications"
100,Beijing University of Technology
101,Ben Gurion University of the Negev
102,"Ben Gurion University of the Negev, Technion"
103,Ben-Gurion University of the Negev
104,Bentley University
105,Bielefeld University
106,Binjiang Insititute
107,Binjiang Institute of Zhejiang University
108,Birzeit University
109,Birzeit University and Palestine Technical University - Kadoorie
110,Birzeit University and Qualtrics XM
111,Bloomberg
112,Bosch
113,Boston University
114,"Boston University, Boston University"
115,"Boston University, Boston University and Google"
116,Brandeis University
117,"Brigham and Women’s Hospital, Harvard University"
118,Brock University
119,Brown University
120,Bucerius Law School gGmbH
121,ByteDance
122,ByteDance Inc
123,ByteDance Inc.
124,ByteDance Research
125,Bytedance
126,Bytedance Inc.
127,CEA
128,"CMU, Carnegie Mellon University"
129,CNR
130,"CNRS / ISIR, Sorbonne Université and CNRS"
131,CRIL Univ-Artois & CNRS
132,CSIRO
133,California Institute of Technology
134,CapitalOne
135,Capitol Region of Denmark and Copenhagen University
136,Cardiff University
137,Cardiff University and Institut Teknologi Sepuluh Nopember
138,Carnegie Mellon University
139,Carnegie Mellon University Qatar
140,Case Western Reserve University
141,Center for Information and Language Processing
142,"Center for Information and Language Processing, LMU Munich"
143,"Center of Information Research, AMS"
144,Central China Normal University
145,Central Conservatory of Music
146,Central South University
147,Central University of Finance and Economics
148,Centre for Addiction and Mental Health (CAMH)
149,Centre for Addiction and Mental Health (CAMH) and Centre for Addiction and Mental Health (CAMH)
150,"Centre for Frontier AI Research, A*STAR and Institute for Infocomm Research, A*STAR"
151,Chalmers University of Technology
152,Chalmers University of Technology and Göteborg University
153,China Mobile Communications Company Limited Research Institute
154,China Mobile Online Services
155,China Mobile Research Institute
156,China Telecom
157,China Telecom Research Institute
158,China Telecom Research Institute Emerging Technology Research Division
159,China Telecom and Northwestern Polytechnical University
160,China University of Political Science and Law
161,ChinaTelecom
162,Chinese Academy of Sciences
163,Chinese University of Hong Kong
164,Chinese University of Hong Kong (Shenzhen)
165,"Chinese University of Hong Kong, Shenzhen"
166,"Chinese University of Hong Kong, The Chinese University of Hong Kong"
167,Chittagong University of Engineering and Technology
168,Chongqing University
169,Chulalongkorn University
170,Chung-Ang University
171,Chungnam National University
172,Cisco
173,City University of Hong Kong
174,City University of Hong Kong and University of Science and Technology of China
