,title,affiliations
0,Explicit vs. Implicit: Investigating Social Bias in Large Language Models through Self-Reflection,"['Tianjin University', 'Tianjin University']"
1,Beyond Perception: Evaluating Abstract Visual Reasoning through Multi-Stage Task,"['University of Melbourne', 'The University of Melbourne', 'The University of Melbourne']"
2,How Numerical Precision Affects Arithmetical Reasoning Capabilities of LLMs,"['Peking University', 'Peking University', 'Huawei Noah’s Ark Lab', 'Peking University and Microsoft', 'Department of Computer Science and Engineering, Hong Kong University of Science and Technology and Huawei Noah’s Ark Lab', 'Peking University']"
3,Diversifying the Expert Knowledge for Task-Agnostic Pruning in Sparse Mixture-of-Experts,"['University of Rochester', 'Microsoft Research', 'Microsoft Research', 'University of Rochester']"
4,A Persona-Aware LLM-Enhanced Framework for Multi-Session Personalized Dialogue Generation,"['Beijing Institute of Technology', 'Beijing Institute of Technology', 'Beijing Institute of Technology']"
5,Exploring In-Image Machine Translation with Real-World Background,"['Beijing Institute of Technology', 'Beijing Institute of Technology']"
6,BayesKD: Bayesian Knowledge Distillation for Compact LLMs in Constrained Fine-tuning Scenarios,"['University of Birmingham', 'University of Exeter', 'Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology and Imperial College London']"
7,GOLFer: Smaller LMs-Generated Documents Hallucination Filter & Combiner for Query Expansion in Information Retrieval,"['City University of Hong Kong', 'University of Hong Kong']"
8,Exp4Fuse: A Rank Fusion Framework for Enhanced Sparse Retrieval using Large Language Model-based Query Expansion,"['City University of Hong Kong', 'University of Hong Kong']"
9,Emo Pillars: Knowledge Distillation to Support Fine-Grained Context-Aware and Context-Less Emotion Classification,['Barcelona Supercomputing Center']
10,Multi-Prompting Decoder Helps Better Language Understanding,"['Nanjing University', 'Nanjing University', 'Singapore Management University and Nanjing University', 'Nanjing University']"
11,Visual Cues Enhance Predictive Turn-Taking for Two-Party Human Interaction,"['University of Dublin, Trinity College']"
12,The Right Time Matters: Data Arrangement Affects Zero-Shot Generalization in Instruction Tuning,"['Tsinghua University, Tsinghua University', 'University of Illinois at Urbana-Champaign', 'Shanghai Artificial Intelligence Laboratory', 'University of Illinois at Urbana-Champaign', 'Alibaba Group', 'Tsinghua University', 'Alibaba Group', 'Alibaba Group', 'Tsinghua University, Tsinghua University', 'Tsinghua University', 'Tsinghua University']"
13,"MFinMeeting: A Multilingual, Multi-Sector, and Multi-Task Financial Meeting Understanding Evaluation Dataset","['Alibaba Group', 'Soochow University, China', 'nanjing university', 'Alibaba Group']"
14,ODDA: An OODA-Driven Diverse Data Augmentation Framework for Low-Resource Relation Extraction,"['Tongji University', 'Tongji University', 'Tongji University']"
15,Detecting and Mitigating Challenges in Zero-Shot Video Summarization with Video LLMs,"['Polytechnic Institute of Turin', 'Politecnico di Torino', 'Polytechnic Institute of Turin', 'Politecnico di Torino and Politecnico di Torino', 'Amazon', 'Amazon', 'Amazon', 'Amazon']"
16,Entity Framing and Role Portrayal in the News,"['Mohamed bin Zayed University of Artificial Intelligence', 'Universidade do Porto', 'University of Helsinki', 'Indian Institute of Technology, Delhi', 'European Commission', 'University of Padua', 'Mohamed bin Zayed University of Artificial Intelligence']"
17,Derailer-Rerailer: Adaptive Verification for Efficient and Reliable Language Model Reasoning,"['Independent Researcher', 'University of Alberta', 'University of Alberta', 'University of Virginia, Charlottesville']"
18,TreeRAG: Unleashing the Power of Hierarchical Storage for Enhanced Knowledge Retrieval in Long Documents,"['South China University of Technology', 'South China University of Technology and The 5th Electronic Research Institute, Ministry of Industry and Information Technology, Guangzhou, China', 'South China University of Technology']"
19,Attention with Dependency Parsing Augmentation for Fine-Grained Attribution,"['Institute of Computing Technology, Chinese Academy of Sciences', 'Institute of Computing Technology, Chinese Academy of Sciences', 'Institute of Computing Technology, Chinese Academy of Sciences']"
20,ASTRO: Automatic Strategy Optimization For Non-Cooperative Dialogues,"['Sichuan University', 'Sichuan University']"
21,Defensive Prompt Patch: A Robust and Generalizable Defense of Large Language Models against Jailbreak Attacks,"['Department of Computer Science and Engineering, The Chinese University of Hong Kong', 'Princeton University', 'International Business Machines', 'Department of Computer Science and Engineering, The Chinese University of Hong Kong']"
22,GUM-SAGE: A Novel Dataset and Approach for Graded Entity Salience Prediction,"['Georgetown University', 'Georgetown University']"
23,Verifying the Steps of Deductive Reasoning Chains,['Telecom Paris']
24,"Translate With Care: Addressing Gender Bias, Neutrality, and Reasoning in Large Language Model Translations",['Brock University']
25,Distance between Relevant Information Pieces Causes Bias in Long-Context LLMs,"['Johns Hopkins University and Tsinghua University, Tsinghua University', 'University of Illinois at Urbana-Champaign', 'Tsinghua University', 'Renmin University of China', 'ModelBest Inc.', 'Apple']"
26,Variable Layerwise Quantization: A Simple and Effective Approach to Quantize LLMs,"['ServiceNow', 'University of Arizona', 'ServiceNow Inc', 'University of Arizona']"
27,Why Are Positional Encodings Nonessential for Deep Autoregressive Transformers? A Petroglyph Revisited,['Harvard University']
28,CRPO: Confidence-Reward Driven Preference Optimization for Machine Translation,"['Amazon', 'Amazon', 'Amazon Prime Video', 'Amazon']"
29,Talking Point based Ideological Discourse Analysis in News Events,"['Purdue University', 'Microsoft', 'Purdue University and Purdue University']"
30,FlashBack: Efficient Retrieval-Augmented Language Modeling for Fast Inference,"['Beijing Institute of Technology', 'Beijing Institute of Technology', 'Beijing Institute of Technology', 'Microsoft Research', 'Beijing Institute of Technology']"
31,CMQCIC-Bench: A Chinese Benchmark for Evaluating Large Language Models in Medical Quality Control Indicator Calculation,"['East China University of Science and Technology', 'East China University of Science and Technology']"
32,ConKE: Conceptualization-Augmented Knowledge Editing in Large Language Models for Commonsense Reasoning,"['The Hong Kong University of Science and Technology', 'Tencent AI Lab', 'Hong Kong University of Science and Technology']"
33,Exploring Multi-Modal Data with Tool-Augmented LLM Agents for Precise Causal Discovery,"['NEC Labs America', 'Florida International University', 'North Carolina State University', 'University of Houston']"
34,PARSQL: Enhancing Text-to-SQL through SQL Parsing and Reasoning,"['Soochow University', 'International Digital Economy Academy (IDEA)', 'datastory', 'Soochow University']"
35,Probing the Geometry of Truth: Consistency and Generalization of Truth Directions in LLMs Across Logical Transformations and Question Answering Tasks,"['Zhejiang University', 'Zhejiang University', 'Zhejiang University', 'Zhejiang Normal University', 'Zhejiang University']"
36,Comparing Bad Apples to Good Oranges Aligning Large Language Models via Joint Preference Optimization,"['University of California, Los Angeles', 'University of California, Los Angeles and Amazon', 'University of California, Los Angeles']"
37,TestAgent: An Adaptive and Intelligent Expert for Human Assessment,"['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']"
38,SPICA: Retrieving Scenarios for Pluralistic In-Context Alignment,"['University of Washington', 'Department of Computer Science']"
39,First-Step Advantage: Importance of Starting Right in Multi-Step Math Reasoning,"['University of California, San Diego', 'Research, Microsoft']"
40,Evaluating Instructively Generated Statement by Large Language Models for Directional Event Causality Identification,"['Central China Normal University', 'Huazhong University of Science and Technology']"
41,CoinMath: Harnessing the Power of Coding Instruction for Math LLM,"[', A*STAR', 'A*STAR', 'Institute for Infocomm Research, A*STAR']"
42,Profiling News Media for Factuality and Bias Using LLMs and the Fact-Checking Methodology of Human Experts,"['Copenhagen University', 'Mohamed bin Zayed University of Artificial Intelligence', 'Mohamed bin Zayed University of Artificial Intelligence']"
43,Structured Discourse Representation for Factual Consistency Verification,"['INRIA', 'École Polytechnique and Inria']"
44,SHARP: Unlocking Interactive Hallucination via Stance Transfer in Role-Playing LLMs,"['Salesforce Research', 'Hong Kong Baptist University', 'Hong Kong University of Science and Technology', 'Hong Kong Baptist University']"
45,Understanding the Gap: an Analysis of Research Collaborations in NLP and Language Documentation,"['Indiana University', 'University of Colorado at Boulder', 'Johannes-Gutenberg Universität Mainz, Johannes-Gutenberg Universität Mainz, University of Colorado, Boulder and New York University']"
46,PersonaBench: Evaluating AI Models on Understanding Personal Information through Accessing (Synthetic) Private User Data,"['SalesForce.com and Rutgers University', 'Salesforce AI Research', 'Salesforce AI Research', 'SalesForce.com', 'SalesForce.com', 'SalesForce AI Research', 'SalesForce.com', 'SalesForce.com', 'SalesForce.com', 'SalesForce.com', 'Salesforce.com', 'Salesforce Research', 'Salesforce Research']"
47,Leveraging Variation Theory in Counterfactual Data Augmentation for Optimized Active Learning,"['Harvard University', 'University of Notre Dame']"
48,ORBIT: Cost-Effective Dataset Curation for Large Language Model Domain Adaptation with an Astronomy Case Study,"['University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'University of Illinois, Urbana Champaign', 'University of Illinois at Urbana-Champaign']"
49,Serial Position Effects of Large Language Models,['Dartmouth College']
50,scRAG: Hybrid Retrieval-Augmented Generation for LLM-based Cross-Tissue Single-Cell Annotation,"['University of Southampton', 'Terminus Group', 'Tongji University', 'University of California, Los Angeles']"
51,Can Large Language Models Address Open-Target Stance Detection?,"['Université de Sherbrooke', 'Université de Sherbrooke']"
52,Improve Language Model and Brain Alignment via Associative Memory,"['Nanjing University of Aeronautics and Astronautics', 'Nanjing University of Aeronautics and Astronautics', 'Nanjing University of Aeronautics and Astronautics']"
53,Towards Reliable Large Audio Language Model,"['ByteDance Inc.', 'ByteDance']"
54,Large Vocabulary Size Improves Large Language Models,"['LINE Corporation', 'SB Intuitions', 'SB Intuitions', 'SBIntuitions']"
55,MUSE: A Multimodal Conversational Recommendation Dataset with Scenario-Grounded User Profiles,"['Northeastern University', 'Northeastern University', 'Northeast University', 'Northeastern University, China', 'Northeastern University', 'Northeastern University']"
56,Machine Translation Models are Zero-Shot Detectors of Translation Direction,"['University of Zurich', 'University of Zurich']"
57,Do Robot Snakes Dream like Electric Sheep? Investigating the Effects of Architectural Inductive Biases on Hallucination,"['Montreal Institute for Learning Algorithms, Université de Montréal and The University of Tokyo', 'Huawei Technologies Ltd.', 'Advanced Micro Devices', 'Huawei Technologies Ltd.', 'École Polytechnique de Montréal']"
58,GenTool: Enhancing Tool Generalization in Language Models through Zero-to-One and Weak-to-Strong Simulation,"['Microsoft', 'Microsoft', 'Microsoft', 'University of Edinburgh, University of Edinburgh', 'Microsoft']"
59,SWE-Fixer: Training Open-Source LLMs for Effective and Efficient GitHub Issue Resolution,"['Alibaba Group', 'Fudan University', 'The Chinese University of Hong Kong', 'University of Hong Kong', 'Shanghai AI Laboratory']"
60,GlyphPattern: An Abstract Pattern Recognition for Vision-Language Models,"['Wellesley College', 'Wellesley College']"
61,FitCF: A Framework for Automatic Feature Importance-guided Counterfactual Example Generation,"['German Research Center for AI', 'Technische Universität Berlin']"
62,From Misleading Queries to Accurate Answers: A Three-Stage Fine-Tuning Method for LLMs,"['Renmin University of China', 'Zhejiang University', 'Zhejiang University', 'Zhejiang University']"
63,Separate the Wheat from the Chaff: A Post-Hoc Approach to Safety Re-Alignment for Fine-Tuned Language Models,"['Harbin Institute of Technology', 'Harbin Institute of Technology', 'Harbin Institute of Technology']"
64,Nuclear Deployed!: Analyzing Catastrophic Risks in Decision-making of Autonomous LLM Agents,"['Tsinghua University, Tsinghua University']"
65,MoRE: A Mixture of Low-Rank Experts for Adaptive Multi-Task Learning,"['Hefei University of Technology', 'Hefei University of Technology', 'Hefei University of Technology', 'IFLYTEK CO.LTD.']"
66,Lunar Twins: We Choose to Go to the Moon with Large Language Models,"['Defense Innovation Institute, Academy of Military Sciences (AMS) and Tianjin Artificial Intelligence Innovation Center (TAIIC), Tianjin, 300450, China', 'Tsinghua University, Tsinghua University']"
67,SPHERE: An Evaluation Card for Human-AI Systems,"['Stanford University', 'CMU, Carnegie Mellon University', 'Stanford University', 'Carnegie Mellon University', 'Stanford University', 'University of Aberdeen', 'Stanford University', 'School of Computer Science, Carnegie Mellon University']"
68,Data-Centric Improvements for Enhancing Multi-Modal Understanding in Spoken Conversation Modeling,"['Google', 'Google', 'Google']"
69,Question-Aware Knowledge Graph Prompting for Enhancing Large Language Models,"['University of Virginia', 'University of Virginia']"
70,UQ-Merge: Uncertainty Guided Multimodal Large Language Model Merging,"['Department of Computer Science, University of North Carolina at Chapel Hill', 'University of Science and Technology of China', 'Honda Research Institute USA', 'Honda Research Institute USA', 'University of North Carolina at Chapel Hill']"
71,AQuAECHR: Attributed Question Answering for European Court of Human Rights,"['University of Massachusetts at Amherst', 'Technische Universität München']"
72,Leveraging Unit Language Guidance to Advance Speech Modeling in Textless Speech-to-Speech Translation,"['The Chinese University of Hong Kong', 'Northeastern University', 'The Chinese University of Hong Kong, Shenzhen', 'Northeastern University', 'Kunming University of Science and Technology', 'Northeastern University']"
73,Ponder & Press: Advancing Visual GUI Agent towards General Computer Control,"['Tsinghua University, ByteDance Inc. and Alibaba Group', 'Tsinghua University', 'Tsinghua University, Tsinghua University']"
74,LogicGame: Benchmarking Rule-Based Reasoning Abilities of Large Language Models,"['Tsinghua University', 'Zhipu AI', 'Tsinghua University', 'Tsinghua University', 'Tsinghua University, Tsinghua University']"
75,LLM-Based Multi-Agent Systems are Scalable Graph Generative Models,"['Renmin University of China', 'Renmin University of China', 'Renmin University of China', 'Renmin University of China', 'Alibaba Group', 'Alibaba Group']"
76,AD-LLM: Benchmarking Large Language Models for Anomaly Detection,"['University of Southern California', 'University of Southern California', 'University of Southern California', 'Northwestern University', 'University of Southern California', 'University of Southern California', 'Arizona State University', 'Adobe Research', 'Northwestern University', 'Rice University', 'University of Southern California']"
77,RTADev: Intention Aligned Multi-Agent Framework for Software Development,"['South China University of Technology', 'South China University of Technology', 'South China University of Technology', 'South China University of Technology', 'South China University of Technology', 'South China University of Technology']"
78,TACO-RL: Task Aware Prompt Compression Optimization with Reinforcement Learning,"['Microsoft Research', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft', 'Microsoft']"
79,Proverbs Run in Pairs: Evaluating Proverb Translation Capability of Large Language Model,"['Monash University', 'Monash University', 'Monash University', 'Monash University']"
80,Towards Efficient LLM Grounding for Embodied Multi-Agent Collaboration,"['Tsinghua University', 'TeleAI, China Telecom', 'Zhejiang University', 'Tsinghua University', 'China Telecom and Northwestern Polytechnical University']"
81,UAQFact: Evaluating Factual Knowledge Utilization of LLMs on Unanswerable Questions,"['Soochow University', 'Soochow University', 'Guangdong OPPO Mobile Telecommunications Corp.,Ltd.', 'Soochow University, China']"
82,Exploring Knowledge Filtering for Retrieval-Augmented Discriminative Tasks,"['Soochow University, China', 'Soochow University', 'Soochow University, China']"
83,Group then Scale: Dynamic Mixture-of-Experts Multilingual Language Model,"['Institute of automation, Chinese Academy of Sciences', 'Institute of Automation, Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences', 'Institute of automation, Chinese academy of science, Chinese Academy of Sciences']"
84,Beyond Verbal Cues: Emotional Contagion Graph Network for Causal Emotion Entailment,"['Nanjing University', 'Nanjing University', 'Nanjing University']"
85,Critic-CoT: Boosting the Reasoning Abilities of Large Language Model via Chain-of-Thought Critic,"['Institute of Software, Chinese Academy of Sciences', 'Institute of Software, Chinese Academy of Sciences', 'Institute of Software, CAS', 'Institute of Software, Chinese Academy of Sciences']"
86,Systematic Generalization in Language Models Scales with Information Entropy,['University of Oslo']
87,The Inverse Scaling Effect of Pre-Trained Language Model Surprisal Is Not Due to Data Leakage,"['New York University', 'Ohio State University, Columbus', 'Ohio State University, Columbus']"
88,Logical Consistency is Vital: Neural-Symbolic Information Retrieval for Negative-Constraint Queries,"['Fudan University', 'Fudan University', 'UAES', 'United Automotive Electronic Systems Co., Ltd.', 'United Automotive Electronic Systems Co., Ltd.', 'UAES', 'Fudan University', 'Fudan University']"
89,‘No’ Matters: Out-of-Distribution Detection in Multimodality Multi-Turn Interactive Dialogue Download PDF,"['University of Western Australia', 'University of Melbourne, University of Western Australia and University of Sydney', 'University of Melbourne']"
90,Event Pattern-Instance Graph: A Multi-Round Role Representation Learning Strategy for Document-Level Event Argument Extraction,"['Jiangxi University of Finance and Economics', 'Jiangxi University of Finance and Economics', 'State University of New York, Stony Brook', 'Jiangxi University of Finance and Economics']"
91,EXECUTE: A Multilingual Benchmark for LLM Token Understanding,"['Technische Universität München', 'Center for Information and Language Processing', 'Technical University of Munich']"
92,Explainable Hallucination through Natural Language Inference Mapping,"['Rheinische Friedrich-Wilhelms Universität Bonn', 'University of Sheffield, University of Sheffield', 'Rheinische Friedrich-Wilhelms Universität Bonn', 'Rheinische Friedrich-Wilhelms Universität Bonn']"
93,HopRAG: Multi-Hop Reasoning for Logic-Aware Retrieval-Augmented Generation,"['Peking University', 'Peking University', 'Huazhong University of Science and Technology', 'Institute for Advanced Algorithms Research, Shanghai', 'Peking University']"
94,Double Entendre: Robust Audio-Based AI-Generated Lyrics Detection via Multi-View Fusion,"['Johannes Kepler Universität Linz', 'Deezer', 'Johannes Kepler Universität Linz', 'Deezer']"
95,Don’t Miss the Forest for the Trees: Attentional Vision Calibration for Large Vision Language Models,"['KAIST', 'Korea Advanced Institute of Science & Technology', 'KAIST, Korea Advanced Institute of Science & Technology', 'Korea Advanced Institute of Science and Technology']"
96,SATA: A Paradigm for LLM Jailbreak via Simple Assistive Task Linkage,"['Tsinghua University', 'Hefei University of Technology', 'Tsinghua University, Tsinghua University', 'Tsinghua University, Tsinghua University']"
97,Chain-Talker: Chain Understanding and Rendering for Empathetic Conversational Speech Synthesis,"['Inner Mongolia University', 'ByteDance', 'The Chinese University of Hong Kong (Shenzhen); National University of Singapore and National University of Singapore']"
98,Parameter-Efficient Fine-Tuning via Circular Convolution,"['Hong Kong University of Science and Technology', 'International Digital Economy Academy', 'Hong Kong University of Science and Technology (Guangzhou) and Hong Kong University of Science and Technology', 'International Digital Economy Academy', 'Hong Kong University of Science and Technology (Guangzhou)']"
99,Alleviating Hallucinations in Large Language Models via Truthfulness-driven Rank-adaptive LoRA,"['University of Science and Technology of China', 'University of Science and Technology of China', 'Beijing University of Posts and Telecommunications']"
100,ScEdit: Script-based Assessment of Knowledge Editing,"['WeChat AI, Tencent']"
101,SafeRoute: Adaptive Model Selection for Efficient and Accurate Safety Guardrails in Large Language Models,"['Korea Advanced Institute of Science & Technology', 'Korea Advanced Institute of Science & Technology', 'KRAFTON and Korea Advanced Institute of Science and Technology', 'Maum.ai', 'TH Nürnberg', 'Korea Advanced Institute of Science & Technology', 'Korea Advanced Institute of Science and Technology and AITRICS']"
102,Measuring Bias and Agreement in Large Language Model Presupposition Judgments,"['Northeastern University and University of Pittsburgh', 'Carnegie Mellon University', 'Northeastern University']"
103,Harnessing PDF Data for Improving Japanese Large Multimodal Models,"['The University of Tokyo', 'National Institute of Informatics', 'The University of Tokyo, The University of Tokyo and Tokyo University of Science']"
104,EnerGIZAr: Leveraging GIZA++ for Effective Tokenizer Initialization,"['University of the Basque Country (UPV/EHU)', 'Universidad del País Vasco', 'Ghent University', 'Ghent University']"
105,AMEX: Android Multi-annotation Expo Dataset for Mobile GUI Agents,"['The Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'vivo', 'The Chinese University of Hong Kong']"
106,Drop Dropout on Single Epoch Language Model Pretraining,"['Stanford University', 'Stanford University', 'Computer Science Department, Stanford University']"
107,Robust and Minimally Invasive Watermarking for EaaS,"['The Chinese University of Hong Kong, Shenzhen', 'Tsinghua University']"
108,Task-Informed Anti-Curriculum by Masking Improves Downstream Performance on Text,"['University of Bucharest', 'University of Bucharest', 'Universitatea Bucuresti']"
109,CARMO: Dynamic Criteria Generation for Context Aware Reward Modelling,"['Microsoft', 'Microsoft Research', 'Microsoft', 'Indian Institute of Management, Ahmedabad, Indian Institute of Technology, Madras, Dhirubhai Ambani Institute Of Information and Communication Technology and Indian Institute of Science, Bangalore', 'Microsoft', 'Microsoft', 'Department of Computer Science, University of North Carolina at Chapel Hill', 'Microsoft']"
