,affiliation,country
0,"A*STAR",[Singapore]
1,"Chinese Academy of Sciences",[China]
2,"Institute of automation, Chinese academy of science",[China]
3,"Rutgers University",[United States]
4,"Univers ity Politehnica of Bucharest",[Romania]
5,"University of British Columbia",[Canada]
6,"University of North Texas",[United States]
7,"Virginia Polytechnic Institute and State University",[United States]
8,01.AI,[China]
9,A*STAR,[Singapore]
10,ACLED,[United States]
11,"AI Lab, Xiaomi Inc.",China
12,AI Singapore,[Singapore]
13,AI Singapore and Ateneo de Manila University,"[Singapore, Philippines]"
14,AIBD,[France]
15,AIRI and Skolkovo Institute of Science and Technology,"[India, Russia]"
16,"AIST, National Institute of Advanced Industrial Science and Technology",[Japan]
17,AISpeech Ltd,[China]
18,AImpower.org,[United States]
19,AMS,[United States]
20,ASAPP,[Argentina]
21,ASAPP Inc,[United States]
22,AWS AI Labs,[United States]
23,Academy of Military Sciences,[China]
24,Accenture,[Ireland]
25,Adobe Research,[United States]
26,Adobe Systems,[United States]
27,Adobe Systems and Northeastern University,[United States]
28,Advanced Micro Devices,[United States]
29,Aily Labs,[Germany]
30,Ailylabs,[Germany]
31,Aix Marseille University,[France]
32,Alan Turing Institute and University of Leeds,[United Kingdom]
33,Alibaba Group,[China]
34,Alibaba Group US,[United States]
35,Alibaba Group and Alibaba Group,[China]
36,Alibaba Group and Microsoft,"[China, United States]"
37,Alibaba Group and Wuhan University,[China]
38,Allegheny Health Network,[United States]
39,Allen Institute for Artificial Intelligence,[United States]
40,Allen Institute for Artificial Intelligence and Department of Computer Science,[United States]
41,"Allen Institute for Artificial Intelligence, Google DeepMind and Google","[United States, United Kingdom]"
42,Almawave,[Italy]
43,Amazon,[United States]
44,Amazon AWS AI,[United States]
45,Amazon Prime Video,[United States]
46,Amazon Web Services,[United States]
47,Amazon and Arizona State University,[United States]
48,"Amazon and Indian Institute of Technology, Bombay","[United States, India]"
49,Amazon and Michigan State University,[United States]
50,Amazon and Tufts University,[United States]
51,"Amazon and University of California, Los Angeles",[United States]
52,Amazon and University of Central Florida,[United States]
53,Amazon and University of Illinois Chicago,[United States]
54,Anhui University,[China]
55,Ant Group,[China]
56,"Ant Group, China",[China]
57,Ant Research,[China]
58,AppTek,[United States]
59,Appier,[Taiwan]
60,Appier Inc.,[Taiwan]
61,Apple,[United States]
62,Aqxle AI,[India]
63,Arizona State University,[United States]
64,Armed Conflict Location & Event Data Project (ACLED),[United States]
65,Artificial Intelligence Research Institute,[Spain]
66,"Artificial Intelligence Research Institute, Skolkovo Institute of Science and Technology and Institute of Numerical Mathematics","[Spain, Russia]"
67,AstraZeneca,"[United Kingdom, Sweden]"
68,Astrazeneca,"[United Kingdom, Sweden]"
69,Athena Research Center and George Mason University,"[Greece, United States]"
70,Athens University of Economics and Business,[Greece]
71,Aurora Innovation Inc,[United States]
72,Austin Peay State University,[United States]
73,Australian National University and CSIRO,[Australia]
74,BIT,[China]
75,BRAC University,[Bangladesh]
76,Baichuan Inc.,[China]
77,Baidu,[China]
78,Baidu Inc.,[China]
79,Bar Ilan University and NVIDIA,"[Israel, United States]"
80,Bar-Ilan University,[Israel]
81,Barcelona Supercomputing Center,[Spain]
82,Bauhaus Universität Weimar,[Germany]
83,Bayerische Julius-Maximilians-Universität Würzburg,[Germany]
84,Baylor University,[United States]
85,Beihang University,[China]
86,Beijing Academy of Artificial Intelligence,[China]
87,"Beijing Baichuan Intelligence Technology Co., Ltd.",[China]
88,Beijing Institute for General Artificial Intelligence,[China]
89,Beijing Institute for General Artificial Intelligence and University of Science and Technology of China,[China]
90,Beijing Institute of General Artificial Intelligence,[China]
91,Beijing Institute of Technology,[China]
92,Beijing Jiaotong University,[China]
93,"Beijing Lingxin Intelligent Technology Co., Ltd",[China]
94,Beijing Normal University,[China]
95,Beijing University of Aeronautics and Astronautics,[China]
96,Beijing University of Chemical Technology,[China]
97,Beijing University of Post and Telecommunication,[China]
98,Beijing University of Posts and Telecommunications,[China]
99,"Beijing University of Posts and Telecommunications, Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications",[China]
100,Beijing University of Technology,[China]
101,Ben Gurion University of the Negev,[Israel]
102,"Ben Gurion University of the Negev, Technion",[Israel]
103,Ben-Gurion University of the Negev,[Israel]
104,Bentley University,[United States]
105,Bielefeld University,[Germany]
106,Binjiang Insititute,[China]
107,Binjiang Institute of Zhejiang University,[China]
108,Birzeit University,[Palestine]
109,Birzeit University and Palestine Technical University - Kadoorie,[Palestine]
110,Birzeit University and Qualtrics XM,"[Palestine, United States]"
111,Bloomberg,[United States]
112,Bosch,Germany
113,Boston University,[United States]
114,"Boston University, Boston University",[United States]
115,"Boston University, Boston University and Google",[United States]
116,Brandeis University,[United States]
117,"Brigham and Women’s Hospital, Harvard University",[United States]
118,Brock University,[Canada]
119,Brown University,[United States]
120,Bucerius Law School gGmbH,[Germany]
121,ByteDance,[China]
122,ByteDance Inc,[China]
123,ByteDance Inc.,[China]
124,ByteDance Research,[China]
125,Bytedance,[China]
126,Bytedance Inc.,[China]
127,CEA,[France]
128,"CMU, Carnegie Mellon University",[United States]
129,CNR,[Italy]
130,"CNRS / ISIR, Sorbonne Université and CNRS",[France]
131,CRIL Univ-Artois & CNRS,[France]
132,CSIRO,[Australia]
133,California Institute of Technology,[United States]
134,CapitalOne,[United States]
135,Capitol Region of Denmark and Copenhagen University,[Denmark]
136,Cardiff University,[United Kingdom]
137,Cardiff University and Institut Teknologi Sepuluh Nopember,"[United Kingdom, Indonesia]"
138,Carnegie Mellon University,[United States]
139,Carnegie Mellon University Qatar,[Qatar]
140,Case Western Reserve University,[United States]
141,Center for Information and Language Processing,[Germany]
142,"Center for Information and Language Processing, LMU Munich",[Germany]
143,"Center of Information Research, AMS",[India]
144,Central China Normal University,[China]
145,Central Conservatory of Music,[China]
146,Central South University,[China]
147,Central University of Finance and Economics,[China]
148,Centre for Addiction and Mental Health (CAMH),[Canada]
149,Centre for Addiction and Mental Health (CAMH) and Centre for Addiction and Mental Health (CAMH),[Canada]
150,"Centre for Frontier AI Research, A*STAR and Institute for Infocomm Research, A*STAR",[Singapore]
151,Chalmers University of Technology,[Sweden]
152,Chalmers University of Technology and Göteborg University,[Sweden]
153,China Mobile Communications Company Limited Research Institute,[China]
154,China Mobile Online Services,[China]
155,China Mobile Research Institute,[China]
156,China Telecom,[China]
157,China Telecom Research Institute,[China]
158,China Telecom Research Institute Emerging Technology Research Division,[China]
159,China Telecom and Northwestern Polytechnical University,"[China, China]"
160,China University of Political Science and Law,[China]
161,ChinaTelecom,[China]
162,Chinese Academy of Sciences,[China]
163,Chinese University of Hong Kong,[China]
164,Chinese University of Hong Kong (Shenzhen),[China]
165,"Chinese University of Hong Kong, Shenzhen",[China]
166,"Chinese University of Hong Kong, The Chinese University of Hong Kong",[Hong Kong]
167,Chittagong University of Engineering and Technology,[Bangladesh]
168,Chongqing University,[China]
169,Chulalongkorn University,[Thailand]
170,Chung-Ang University,[South Korea]
171,Chungnam National University,[South Korea]
172,Cisco,[United States]
173,City University of Hong Kong,[Hong Kong]
174,City University of Hong Kong and University of Science and Technology of China,"[Hong Kong, China]"
175,City University of Hong Kong and Xi’an Jiaotong University,"[China, Hong Kong]"
176,Cohere,[Canada]
177,Cohere and Cohere,[Canada]
178,"College of Computer Science and Technology, Zhejiang University",[China]
179,"College of Computing, Georgia Institute of Technology",[United States]
180,College of William and Mary,[United States]
181,Columbia University,[United States]
182,Columbia University and Columbia University,[United States]
183,Columbia University and Google,[United States]
184,Comenius University in Bratislava,[Slovakia]
185,Common Crawl Foundation,[United States]
186,"Computer Network Information Center, Chinese Academy of Sciences,",[China]
187,"Computer Science Department, Stanford University",[United States]
188,Convin,[Greece]
189,Copenhagen University,[Denmark]
190,Copenhagen University and University of Copenhagen,[Denmark]
191,Cornell University,[United States]
192,Coxwave and Seoul National University,[South Korea]
193,"Curtin University of Technology and BRAC University, Bangladesh","[Australia, Bangladesh]"
194,CyberAgent AI Lab,[Japan]
195,"CyberAgent, Inc.",[Japan]
196,DISI - University of Bologna,[Italy]
197,Dalhousie University,[Canada]
198,Dalian University of Technology,[China]
199,Dartmouth College,[United States]
200,"Data Science & Innovation, NatWest Group",[United Kingdom]
201,DataCanvas,[China]
202,Datadog and Carnegie Mellon University,[United States]
203,Dataminr,United States
204,Dataminr Inc.,[United States]
205,Deakin University,[Australia]
206,DeepMind,[United Kingdom]
207,DeepSeek,[China]
208,DeepWisdom,[China]
209,Deepmind Google,"[United Kingdom, United States]"
210,Deezer,[France]
211,"Defense Innovation Institute, Academy of Military Sciences (AMS) and Tianjin Artificial Intelligence Innovation Center (TAIIC), Tianjin, 300450, China",[China]
212,Delft University of Technology,[Netherlands]
213,Department of Computer Science,[Multiple countries]
214,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",[Hong Kong]
215,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology and Huawei Noah’s Ark Lab","[Hong Kong, China]"
216,"Department of Computer Science and Engineering, The Chinese University of Hong Kong",[Hong Kong]
217,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology",[Hong Kong]
218,Department of Computer Science and Technology (Formerly Computer Laboratory),[United Kingdom]
219,"Department of Computer Science and Technology, Tsinghua University",[China]
220,"Department of Computer Science, Columbia University and Department of Computer Science, University of Toronto","[United States, Canada]"
221,"Department of Computer Science, Duke University",[United States]
222,"Department of Computer Science, ETHZ - ETH Zurich",[Switzerland]
223,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology","[India, Japan]"
224,"Department of Computer Science, The University of Hong Kong",[Hong Kong]
225,"Department of Computer Science, University of British Columbia",[Canada]
226,"Department of Computer Science, University of Maryland, College Park",[United States]
227,"Department of Computer Science, University of Massachusetts at Amherst",[United States]
228,"Department of Computer Science, University of North Carolina at Chapel Hill",[United States]
229,"Department of Computer Science, University of Toronto",[Canada]
230,"Department of Computer Science, University of Washington",[United States]
231,"Department of Computer Science, Viterbi School of Engineering",[United States]
232,"Department of Computer Science, Whiting School of Engineering",[United States]
233,"Department of Mechanical and Industrial Engineering, University of Toronto and Department of Computer Science",[Canada]
234,"Dept. of Informatics, University of Oslo",[Norway]
235,Dialpad Inc.,[United States]
236,Dolby Labs.,[United States]
237,"Donghua University, Shanghai",[China]
238,Drexel University,[United States]
239,Dublin City University,[Ireland]
240,Dublin City University and University of Aberdeen,"[Ireland, United Kingdom]"
241,Duke University,[United States]
242,E.ON Grid Solutions,[Germany]
243,EPFL - EPF Lausanne,[Switzerland]
244,ETHZ - ETH Zurich,[Switzerland]
245,East China Normal University,[China]
246,East China University of Science and Technology,[China]
