,title,affiliations,matched_countries
61,FitCF: A Framework for Automatic Feature Importance-guided Counterfactual Example Generation,"['German Research Center for AI', 'Technische Universität Berlin']",Germany
91,EXECUTE: A Multilingual Benchmark for LLM Token Understanding,"['Technische Universität München', 'Center for Information and Language Processing', 'Technical University of Munich']",Germany
92,Explainable Hallucination through Natural Language Inference Mapping,"['Rheinische Friedrich-Wilhelms Universität Bonn', 'University of Sheffield, University of Sheffield', 'Rheinische Friedrich-Wilhelms Universität Bonn', 'Rheinische Friedrich-Wilhelms Universität Bonn']",Germany
94,Double Entendre: Robust Audio-Based AI-Generated Lyrics Detection via Multi-View Fusion,"['Johannes Kepler Universität Linz', 'Deezer', 'Johannes Kepler Universität Linz', 'Deezer']",Austria
108,Task-Informed Anti-Curriculum by Masking Improves Downstream Performance on Text,"['University of Bucharest', 'University of Bucharest', 'Universitatea Bucuresti']",Romania
112,Texts or Images? A Fine-grained Analysis on the Effectiveness of Input Representations and Models for Table Question Answering,"['Bosch', 'Hochschule der Medien (University of Applied Sciences)', 'University of Augsburg']",Germany
136,A Case Study of Cross-Lingual Zero-Shot Generalization for Classical Languages in LLMs,"['Eberhard-Karls-Universität Tübingen', 'Indian Institute of Technology, Kanpur, Dhirubhai Ambani Institute Of Information and Communication Technology', 'IIT Kanpur']",Germany
189,The Two Paradigms of LLM Detection: Authorship Attribution vs. Authorship Verification,"['Bauhaus Universität Weimar', 'Bauhaus Universität Weimar', 'Bauhaus Universität Weimar', 'University of Kassel, hessian.AI, and ScaDS.AI', 'Bauhaus Universität Weimar']",Germany
210,Predicate-Conditional Conformalized Answer Sets for Knowledge Graph Embeddings,"['Universität Stuttgart', 'Universität Stuttgart', 'Amazon', 'Stanford University', 'University of Oslo and Robert Bosch GmbH, Bosch', 'University of Stuttgart and University of Southampton']",Germany
251,Better Red Teaming via Searching with Large Language Model,['Institute of Systems Engineering'],Germany
383,Hierarchical Safety Realignment: Lightweight Restoration of Safety in Pruned Large Vision-Language Models,"['Hasso Plattner Institute and University of Potsdam', 'East China Normal University']",Germany
401,LGAR: Zero-Shot LLM-Guided Neural Ranking for Abstract Screening in Systematic Literature Reviews,"['XITASO GmbH and Universität Augsburg', 'XITASO GmbH', 'University of Augsburg']",Germany
433,Contrastive Learning for Task-Independent SpeechLLM-Pretraining,['Karlsruher Institut für Technologie'],Germany
442,Analyzing the Effect of Linguistic Similarity on Cross-Lingual Transfer: Tasks and Experimental Setups Matter,"['Ludwig-Maximilians-Universität München', 'Apple', 'Apple']",Germany
443,Agents generalize to novel levels of abstraction by using adaptive linguistic strategies,"['Universität Osnabrück', 'Universität Osnabrück', 'Institute of Cognitive Science, Osnabrück University, Universität Osnabrück']",Germany
484,PAP2PAT: Benchmarking Outline-Guided Long-Text Patent Generation with Patent-Paper Pairs,"['Bosch', 'Technische Universität Dresden', 'University of Augsburg']",Germany
487,GIMMICK: Globally Inclusive Multimodal Multitask Cultural Knowledge Benchmarking,"['Universität Hamburg', 'U Hamburg', 'Universität Hamburg']",Germany
491,Random Splitting Negatively Impacts NER Evaluation: Quantifying and Eliminating the Overestimation of NER Performance,"['Ludwig-Maximilians-Universität München', 'Universität der Bundeswehr München']",Germany
536,Towards Conditioning Clinical Text Generation for User Control,"['Universität Duisburg-Essen', 'Institute for AI in Medicine (IKIM), University Medicine Essen']",Germany
542,taz2024full: Analysing German Newspapers for Gender Bias and Discrimination across Decades,"['Ludwig-Maximilians-Universität München and Hochschule München', 'Hochschule München', 'Ludwig-Maximilians-Universität München', 'Ludwig-Maximilians-Universität München', 'Hochschule München']",Germany
548,"A Couch Potato is not a Potato on a Couch: Prompting Strategies, Image Generation, and Compositionality Prediction for Noun Compounds","['Ludwig-Maximilians-Universität München', 'University of Stuttgart']",Germany
549,A Rose by Any Other Name: LLM-Generated Explanations Are Good Proxies for Human Explanations to Collect Label Distributions on NLI,"['Ludwig-Maximilians-Universität München', 'Ludwig-Maximilians-Universität München', 'University of Cambridge', 'Ludwig-Maximilians-Universität München']",Germany
550,Measuring What Matters: Evaluating Ensemble LLMs with Label Refinement in Inductive Coding,['Technische Universität München'],Germany
552,CoMuMDR: Code-mixed Multi-modal Multi-domain corpus for Discourse paRsing in conversations,"['convin', 'Convin', 'IIT Kanpur']",Germany
553,Multi-word Measures: Modeling Semantic Change in Compound Nouns,"['University of Stuttgart, Universität Stuttgart', 'University of Stuttgart', 'University of Stuttgart']",Germany
566,ArgInstruct: Specialized Instruction Fine-Tuning for Computational Argumentation,"['Leibniz Universität Hannover', 'Universität Hannover', 'University of Richmond', 'Leibniz Universität Hannover']",Germany
568,Probabilistic Aggregation and Targeted Embedding Optimization for Collective Moral Reasoning in Large Language Models,"['Technical University of Munich', 'Technische Universität München', 'Technische Universität München and University of Tuebingen']",Germany
586,You need to MIMIC to get FAME: Solving Meeting Transcript Scarcity with Multi-Agent Conversations,"['Georg-August Universität Göttingen', 'University of Göttingen, Germany', 'Georg-August Universität Göttingen', 'Georg-August Universität Göttingen']",Germany
590,Large Language Models are Miscalibrated In-Context Learners,"['Julius-Maximilians-Universität Würzburg', 'University of Cambridge', 'Google DeepMind and University of Cambridge']",Germany
593,Voting or Consensus? Decision-Making in Multi-Agent Debate,"['Georg-August Universität Göttingen', 'Georg-August Universität Göttingen', 'University of Göttingen, Germany', 'Georg-August Universität Göttingen', 'Georg-August Universität Göttingen']",Germany
603,NeoQA: Evidence-based Question Answering with Generated News Events,"['Technische Universität Darmstadt', 'Amazon', 'Amazon', 'Institute for Computer Science, Artificial Intelligence and Technology, Mohamed bin Zayed University of Artificial Intelligence and Technische Universität Darmstadt', 'Amazon']",Germany
620,Clarifying Underspecified Discourse Relations in Instructional Texts,"['University of Technology Nuremberg', 'University of Technology Nuremberg']",Germany
622,Exploring Graph Representations of Logical Forms for Language Modeling,['Universität des Saarlandes'],Germany
641,Time Course MechInterp: Analyzing the Evolution of Components and Knowledge in Large Language Models,"['Ludwig-Maximilians-Universität München', 'Center for Information and Language Processing, LMU Munich', 'Ludwig-Maximilians-Universität München']",Germany
649,Knowing Before Saying: LLM Representations Encode Information About Chain-of-Thought Success Before Completion,"['Technische Universität München', 'Bar Ilan University and NVIDIA', 'NVIDIA']",Germany
654,Towards Explainable Hate Speech Detection,"['Ernst-Moritz-Arndt Universität Greifswald', 'Ernst-Moritz-Arndt Universität Greifswald', 'University of Greifswald and University of Greifswald', 'Universität Greifswald']",Germany
661,Improving Causal Interventions in Amnesic Probing with Mean Projection or LEACE,"['NASK - National Research Institute', 'VU University Amsterdam', 'Vrije Universiteit Amsterdam']",Poland
671,ACCESS DENIED INC: The First Benchmark Environment for Sensitivity Awareness,"['L3S Research Center Hannover', 'E.ON Grid Solutions', 'Universität Hannover']",Germany
680,Beyond Factual Accuracy: Evaluating Coverage of Diverse Factual Information in Long-form Text Generation,"['Salzburg University of Applied Sciences', 'University of Virginia, Charlottesville', 'University of Massachusetts at Amherst']",Austria
713,CoLA: Collaborative Low-Rank Adaptation,"['Zhejiang University, Renmin University of China, Renmin University of China, Renmin University of China, Yale University, Department of Computer Science, Yale University, University of Michigan - Ann Arbor, Electrical Engineering and Computer Science, University of Michigan - Ann Arbor, National University of Singapore, National University of Singapore, Beijing Jiaotong University, University of California, Berkeley, Electrical Engineering & Computer Science Department, University of California, Berkeley, UC Berkeley, University of California, Berkeley, Computer Science and Artificial Intelligence Laboratory, Electrical Engineering & Computer Science, Massachusetts Institute of Technology and Montanuniversität Leoben', 'Zhejiang University', 'Zhejiang University']",Austria
746,RecordTwin: Towards Creating Safe Synthetic Clinical Corpora,"['Technische Universität Berlin', 'Technische Universität Berlin', 'Tsukuba University, Tokyo Institute of Technology', 'Nara Institute of Science and Technology', 'Nara Institute of Science and Technology, Japan']",Germany
769,Unveiling the Key Factors for Distilling Chain-of-Thought Reasoning,"['Saarland University', 'Meituan', 'Eastern Institute of Technology, Ningbo', 'The Hong Kong Polytechnic University, The Hong Kong Polytechnic University', 'Amazon']",Germany
780,“I understand your perspective”: LLM Persuasion through the Lens of Communicative Action Theory,"['Universität Stuttgart', 'Interchange Forum for Reflecting on Intelligent Systems, University of Stuttgart']",Germany
797,A Study into Investigating Temporal Robustness of LLMs,"['L3S Research Center', 'Universität Innsbruck', 'Delft University of Technology']",Germany
824,MVL-SIB: A Massively Multilingual Vision-Language Benchmark for Cross-Modal Topical Matching,"['U Hamburg', 'Julius-Maximilians-Universität Würzburg']",Germany
849,The Anatomy of Evidence: An Investigation Into Explainable ICD Coding,"['Fraunhofer Institute IAIS, Fraunhofer IAIS', 'Fraunhofer Institute IAIS, Fraunhofer IAIS and Hochschule Bonn-Rhein-Sieg', 'Fraunhofer Institute IAIS, Fraunhofer IAIS']",Germany
866,FADE: Why Bad Descriptions Happen to Good Features,"['Technische Universität Berlin', 'Fraunhofer HHI', 'Fraunhofer HHI, Fraunhofer IAIS', 'Fraunhofer HHI', 'Fraunhofer HHI and Technische Universität Berlin', 'TU Berlin and Fraunhofer HHI', 'Fraunhofer HHI']",Germany
875,Filling the Temporal Void: Recovering Missing Publication Years in the Project Gutenberg Corpus Using LLMs,['Johann Wolfgang Goethe Universität Frankfurt am Main'],Germany
893,Multi-Hop Reasoning for Question Answering with Hyperbolic Representations,"['Rheinische Friedrich-Wilhelms Universität Bonn', 'Rheinische Friedrich-Wilhelms Universität Bonn']",Germany
894,Look & Mark: Leveraging Radiologist Eye Fixations and Bounding boxes in Multimodal Large Language Models for Chest X-ray Report Generation,"['Technical University of Munich', 'University of Glasgow']",Germany
916,The Devil Is in the Word Alignment Details: On Translation-Based Cross-Lingual Transfer for Token Classification Tasks,"['Bayerische Julius-Maximilians-Universität Würzburg', 'Julius-Maximilians-Universität Würzburg']",Germany
924,Recursive Question Understanding for Complex Question Answering over Heterogeneous Personal Data,['Max-Planck Institute for Informatics and Max Planck Institute'],Germany
939,Trick or Neat: Adversarial Ambiguity and Language Model Evaluation,"['Technische Universität Berlin', 'Copenhagen University']",Germany
970,Large Language Models as Neurolinguistic Subjects: Discrepancy between Performance and Competence,"['Center for Information and Language Processing', 'Columbia University', 'University of Michigan - Ann Arbor']",Germany
1057,PM3-KIE: A Probabilistic Multi-Task Meta-Model for Document Key Information Extraction,"['Fraunhofer Institute IAIS, Fraunhofer IAIS', 'Fraunhofer Institute IAIS, Fraunhofer IAIS']",Germany
1068,Word-Level Detection of Code-Mixed Hate Speech with Multilingual Domain Transfer,['Universität Vienna'],Austria
1185,Behavioral Analysis of Information Salience in Large Language Models,"['Universität Mannheim and Phillips-Universität Marburg', 'University of Texas at Austin', 'Phillips-Universität Marburg and University of Twente']",Germany
1208,SceneGram: Conceptualizing and Describing Tangrams in Scene Context,"['Universität Bielefeld', 'Bielefeld University']",Germany
1215,Are Multimodal Large Language Models Pragmatically Competent Listeners in Simple Reference Resolution Tasks?,"['Universität Bielefeld', 'Universität Bielefeld', 'Bielefeld University', 'Universität Bielefeld']",Germany
1219,Seeing What Tastes Good: Revisiting Multimodal Distributional Semantics in the Billion Parameter Era,"['University Politehnica of Bucharest', 'Copenhagen University and University of Copenhagen', 'University of Copenhagen']",Romania
1224,GUIDEX: Guided Synthetic Data Generation for Zero-Shot Information Extraction,"['Technical University of Munich and Universidad del País Vasco', 'University of the Basque Country (UPV/EHU)', 'University of the Basque Country (UPV/EHU)']",Germany
