,affiliation
0,"A*STAR"
1,"Charles University Prague"
2,"Chinese Academy of Sciences"
3,"Hebrew University of Jerusalem"
4,"Institute of automation, Chinese academy of science"
5,"McGill University"
6,"Tsinghua University"
7,"University of British Columbia"
8,"University of Chicago"
9,"Chinese Academy of Sciences"
10,01.AI
11,A*STAR
12,A*STAR Centre for Frontier AI Research
13,"A*STAR, I2R"
14,ADA University
15,AI Innovation Center
16,"AI Lab at Lenovo Research, Hangzhou Dianzi University and Northwest University"
17,"AI Lab, Xiaomi Inc."
18,AI Singapore
19,AI Singapore and Ateneo de Manila University
20,AI Sweden
21,AI4Bharat
22,AIM Intelligence
23,AIM Intelligence and University of Seoul
24,AIRI
25,AIRI and Moscow Institute of Physics and Technology
26,AIRI and Skolkovo Institute of Science and Technology
27,"AIRI, Artificial Intelligence Research Institute and Moscow Institute of Physics and Technology"
28,AISpeech Ltd
29,AITRICS
30,AIWaves Inc.
31,AMD
32,ASUS
33,AWS AI
34,AWS AI Labs
35,"AXA, CNRS and LIP6"
36,Aalborg University
37,Aarhus University
38,Academia Sinica
39,Academy of Cyber
40,Academy of Military Science
41,Académie d’Aix-Marseille
42,Accenture
43,Adobe Research
44,Adobe Systems
45,Adobe Systems and University of Surrey
46,Advanced Micro Devices
47,African University of Science and Technology
48,Ahmadu Bello University
49,Al Akhawayn University
50,Alan Turing Institute and University of Cambridge
51,Alfaisal University
52,Alibaba
53,Alibaba Cloud
54,Alibaba Group
55,Alibaba Group US
56,Alibaba Group and Alibaba Group
57,Alibaba Group and Kuaishou- 快手科技
58,Alibaba Group and Microsoft
59,Alibaba Group and Zhejiang University
60,Alibaba International Digital Commerce Group
61,Alibaba-inc
62,All Hands AI and University of Illinois Urbana-Champaign
63,Allen Institute for Artificial Intelligence
64,Allen Institute for Artificial Intelligence and Department of Computer Science
65,Allen Institute for Artificial Intelligence and University of Washington
66,Amazon
67,Amazon Web Services
68,Amazon and Carnegie Mellon University
69,"Amazon and Computer Science, George Mason University"
70,Amazon and Ludwig-Maximilians-Universität München
71,Amazon and Tufts University
72,Amazon and University of Cambridge
73,Amazon and University of Illinois Chicago
74,Amazon and University of Liverpool
75,"Amazon, Siemens Corporate Research and University of Munich, Ludwig-Maximilians-Universität München"
76,Amsterdam UMC
77,Anhui University
78,Answer.AI
79,AnswerAi
80,AnswerDotAI
81,Ant Group
82,Ant Group and University of New South Wales
83,Ant Group and Zhejiang University
84,Ant International
85,Apple
86,Apple AI/ML
87,Apple Inc.
88,Aristotle University of Thessaloniki
89,Arizona State University
90,Arizona State University and Samsung Research
91,Artificial Intelligence Research Institute and Moscow Institute of Physics and Technology
92,Aston University
93,Ateneo de Manila University
94,Athens University of Economics and Business
95,Auburn University and Auburn University
96,Austin Peay State University
97,Australian National University and Singapore Management University
98,Aveni
99,BAAI
100,BOSS Zhipin
101,Baichuan Inc.
102,Baidu
103,Baidu Inc
104,Baidu Inc.
105,Bar Ilan University
106,Bar-Ilan University
107,Barcelona Supercomputing Center
108,Bayerische Julius-Maximilians-Universität Würzburg
109,Bayero University Kano
110,Baylor University
111,Beever AI and Votee AI
112,Beihang University
113,Beijing Academy of Artificial Intelligence
114,Beijing Academy of Artificial Intelligence (BAAI)
115,Beijing Academy of Artificial Intelligence(BAAl)
116,"Beijing Academy of Artificial Intelligence(BAAl), Peking University and Hong Kong University of Science and Technology (Guangzhou)"
117,Beijing Academy of Quantum Information Sciences
118,"Beijing Baichuan Intelligence Technology Co., Ltd."
119,Beijing Institute for General Artificial Intelligence
120,Beijing Institute of Control Engineering
121,Beijing Institute of Technology
122,Beijing Institute of Technology and Open University
123,Beijing Jiaotong University
124,"Beijing Knowledge Atlas Technology Co., Ltd."
125,Beijing Knowledge Atlas Technology Joint Stock Company Limited
126,Beijing Normal University
127,Beijing University of Aeronautics and Astronautics
128,Beijing University of Post and Telecommunication
129,Beijing University of Posts and Telecommunications
130,"Beijing University of Posts and Telecommunications, Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications"
131,Beijing University of Technology
132,Ben Gurion University of the Negev
133,BenevolentAI
134,Berkeley Center for Law and Business
135,Bielefeld University
136,Binus University
137,"Birkbeck, University of London"
138,Birzeit University
139,Bocconi University
140,Boehringer Ingelheim
141,Booking
142,Brno University of Technology
143,Brown University
144,ByteDance
145,ByteDance Inc and Georgia Institute of Technology
146,ByteDance Inc.
147,ByteDance Seed
148,Bytedance
149,CENTAI
150,CENTAI Institute
151,CIGIT
152,CISPA Helmholtz Center for Information Security
153,CISPA Helmholtz Center for Information Security and Saarland University
154,CJ
155,CJ Group
156,"CMU, Carnegie Mellon University"
157,CNPIEC KEXIN LTD
158,CNRS
159,"CNRS / ISIR, Sorbonne Université and CNRS"
160,CONICET / Universidad de Buenos Aires
161,CRIL Univ-Artois & CNRS
162,CSIRO
163,CSIRO and University of Queensland
164,Cairo University
165,"California State University, Long Beach"
166,Calvin College
167,Capital One
168,CapitalOne
169,Cardiff University
170,Carnegie Mellon University
171,Center for Information and Language Processing
172,"Center for Information and Language Processing, LMU Munich"
173,Central South University
174,Central University of Finance and Economics
175,"Centre for Artificial Intelligence and Robotics (CAIR), Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences"
176,"Centre for Artificial Intelligence and Robotics Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences"
177,Centro Universitário FEI
178,"Cerebras Systems, Inc"
179,Chalmers University of Technology
180,Chang Gung University
181,Changsha University of Science and Technology
182,Charles Darwin University
183,Charles University
184,Charles University Prague
185,Cheung Kong Graduate School of business
186,China Academy of Information and Communications Technology
187,China Mobile Information Technology Center
188,China Telecom
189,China Telecom and Northwestern Polytechnical University
190,China Three Gorges Corporation
191,China University of Petroleum
192,Chinese Academy of Sciences
193,Chinese Academy of Sciences and Chinese Information Processing Laboratory
194,Chinese University of Hong Kong
195,"Chinese University of Hong Kong, Shenzhen"
196,"Chinese University of Hong Kong, The Chinese University of Hong Kong"
197,Chongqing University
198,Chongqing University of Post and Telecommunications
199,Chung-Ang University
200,Cisco
201,City University of Hong Kong
202,City University of Hong Kong and Xi’an Jiaotong University
203,Cliniques universitaires Saint-Luc
204,Cohere
205,Cohere AI
206,Cohere For AI
207,Cohere Labs
208,Cohere and Cohere
209,Cold Spring Harbor Laboratory
210,"College of Computer Science and Technology, Zhejiang University"
211,Colorado State University
212,Columbia University
213,"Columbia University, University of Maryland, Baltimore County, IBM TJ Watson Research Center and Tsinghua University"
214,Common Crawl Foundation
215,"Commonwealth Scientific and Industrial Research Organisation, CSIRO"
216,"Computer Network Information Center, Chinese Academy of Sciences"
217,"Computer Network Information Center, Chinese Academy of Sciences,"
218,"Computer Science Departmen, Technion-Israel Institute of Technology"
219,"Computer Science Department, Stanford University"
220,"Computer Science Department, Stanford University and NVIDIA"
221,"Computer Science Department, Stanford University, University of Chicago and Sentience Institute"
222,"Computer Science Department, Technion - Israel Institute of Technology"
223,"Computer Science and Engineering Department, University of California, San Diego"
224,"Computing Science, University of British Columbia"
225,Consiglio Nazionale delle Ricerche
226,Copenhagen University
227,Copenhagen University and KAIST
228,Cornell University
229,Cornell University and ASAPP
230,Corti
231,Counsel AI Corporation
232,Coxwave and Seoul National University
233,Criteo AI Lab and Sorbonne Universite
234,"CyberAgent, Inc."
235,DATUMO Inc.
236,DFF - Deutsches Filminstitut & Filmmuseum
237,DISI - University of Bologna
238,DSO National Laboratories
239,Dalian University of Technology
240,Dartmouth College
241,DataCanvas
242,Dataxet:Sonar
243,Decilion
244,DeepSeek
245,DeepSeek AI
246,DeepSeek and Peking University
247,Deepseed AI
248,"Defense Innovation Unit and University of California, Berkeley"
249,Department of Computer Science
250,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
251,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology and Huawei Noah’s Ark Lab"
252,"Department of Computer Science and Engineering, The Chinese University of Hong Kong"
253,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
254,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology and VGG, University of Oxford"
255,Department of Computer Science and Technology (Formerly Computer Laboratory)
256,"Department of Computer Science and Technology, Tsinghua University"
257,"Department of Computer Science, Cornell University"
258,"Department of Computer Science, ETHZ - ETH Zurich"
259,"Department of Computer Science, Humboldt University Berlin, Humboldt Universität Berlin"
260,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras"
261,"Department of Computer Science, Indian Institute of Technology, Madras, Indian Institute of Technology, Madras and National Institute of Information and Communications Technology (NICT), National Institute of Advanced Industrial Science and Technology"
262,"Department of Computer Science, National Tsing Hua University, National Tsinghua University"
263,"Department of Computer Science, The University of Hong Kong"
264,"Department of Computer Science, UIUC"
265,"Department of Computer Science, University of Illinois at Urbana-Champaign"
266,"Department of Computer Science, University of Maryland, College Park"
267,"Department of Computer Science, University of North Carolina at Chapel Hill"
268,"Department of Computer Science, University of Oxford"
269,"Department of Computer Science, University of Toronto"
270,"Department of Computer Science, University of Washington"
271,"Department of Computer Science, University of Wisconsin - Madison"
272,"Department of Computer Science, Whiting School of Engineering"
273,"Department of Computer Science, Whiting School of Engineering and Bloomberg"
274,"Department of Computer Science, Yale University"
275,"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven and NEC"
276,"Department of Mechanical and Industrial Engineering, University of Toronto and Department of Computer Science"
277,"Dept. of Computer Sci. & Eng., Shanghai Jiao Tong University"
278,Dialpad Inc.
279,Dolby Labs.
280,DoorDash
281,Drexel University
282,Dublin City University
283,Duke University
284,Durham University
285,"ELLIS Institute and Max Planck Institute for Intelligent Systems, Max-Planck Institute"
286,EPFL - EPF Lausanne
287,EPFL - EPF Lausanne and Microsoft
288,ETHZ - ETH Zurich
289,ETHZ - ETH Zurich and Georgetown University
290,ETHZ - ETH Zurich and Université de Lausanne
291,East China Normal University
292,East China University of Science and Technology
293,Eberhard-Karls-Universität Tübingen
294,Eberhard-Karls-Universität Tübingen and University of Cambridge
295,Ecole Normale Supérieure de Paris
296,Ecole Normale Supérieure – PSL
297,"Ecole Polytechnique, France"
298,"Edinburgh University, University of Edinburgh"
299,EduLab
