,title,affiliations
0,EcomScriptBench: A Multi-task Benchmark for E-commerce Script Planning via Step-wise Intention-Driven Product Association,"['The Hong Kong University of Science and Technology', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Amazon', 'Department of Computer Science and Engineering, The Hong Kong University of Science and Technology', 'The Hong Kong University of Science and Technology', 'Amazon', 'Amazon', 'Amazon', 'Texas A&M University', 'Hong Kong University of Science and Technology']"
1,GraphNarrator: Generating Textual Explanations for Graph Neural Networks,"['Emory University', 'Emory University', 'Emory University']"
2,M-RewardBench: Evaluating Reward Models in Multilingual Settings,"['Writesonic', 'Allen Institute for Artificial Intelligence', 'Korea Advanced Institute of Science & Technology', 'ServiceNow', 'Cohere', 'Allen Institute for Artificial Intelligence', 'Facebook', 'Cohere For AI', 'Cohere Labs']"
3,ELABORATION: A Comprehensive Benchmark on Human-LLM Competitive Programming,"['Sichuan University', 'Sichuan University', 'Sichuan University', 'Sichuan University']"
4,The Impossibility of Fair LLMs,"['Computer Science Department, Stanford University, University of Chicago and Sentience Institute', 'Twitter', 'Drexel University', 'University of California, Berkeley', 'University of Chicago']"
5,Intuitive Fine-Tuning: Towards Simplifying Alignment into a Single Process,"['Tsinghua University, Tsinghua University', 'Shanghai Artificial Intelligence Laboratory', 'Tsinghua University', 'Tsinghua University, Tsinghua University', 'Tsinghua University']"
6,Bias in Language Models: Beyond Trick Tests and Towards RUTEd Evaluation,"['Twitter', 'Computer Science Department, Stanford University, University of Chicago and Sentience Institute', 'Google', 'Google', 'Google']"
7,Sliding Windows Are Not the End: Exploring Full Ranking with Long-Context Large Language Models,"['Baidu', 'Baidu', 'Renmin University of China']"
8,The Impact of Auxiliary Patient Data on Automated Chest X-Ray Report Generation and How to Incorporate It,"['CSIRO', 'CSIRO', 'CSIRO and University of Queensland']"
9,CLEME2.0: Towards Interpretable Evaluation by Disentangling Edits for Grammatical Error Correction,"['ByteDance Inc.', 'Tsinghua University, Tsinghua University', 'SUN YAT-SEN UNIVERSITY', 'Guangming Laboratory', 'Tsinghua University', 'WeChat, Tencent', 'WeChat, Tencent']"
10,StrucText-Eval: Evaluating Large Language Model’s Reasoning Ability in Structure-Rich Text,"['Fudan University', 'Fudan University', 'Fudan University']"
11,Literature Meets Data: A Synergistic Approach to Hypothesis Generation,"['University of Chicago', 'University of Chicago', 'University of Chicago']"
12,GAPO: Learning Preferential Prompt through Generative Adversarial Policy Optimization,"['Alibaba Group', 'Fudan University', 'Fudan University']"
13,Tree-of-Evolution: Tree-Structured Instruction Evolution for Code Generation in Large Language Models,"['Salesforce Research', 'Hong Kong Baptist University', 'National University of Singapore', 'Hong Kong Baptist University']"
14,Delving into Multilingual Ethical Bias: The MSQAD with Statistical Hypothesis Tests for Large Language Models,"['Chung-Ang University', 'AITRICS', 'Chung-Ang University']"
15,ReSCORE: Label-free Iterative Retriever Training for Multi-hop Question Answering with Relevance-Consistency Supervision,"['Korea University', 'University of Richmond', 'Korea University']"
16,FACT-AUDIT: An Adaptive Multi-Agent Framework for Dynamic Fact-Checking Evaluation of Large Language Models,"['Hong Kong Baptist University', 'Singapore Management University', 'Harbin Institute of Technology', 'Singapore University of Technology and Design', 'Hong Kong Baptist University', 'National University of Singapore', 'National University of Singapore']"
17,Statistical Deficiency for Task Inclusion Estimation,"['Académie d’Aix-Marseille', 'Université d’Aix-Marseille', 'Orange Innovation', 'Orange', 'École de technologie supérieure, Université du Québec and Université Paris-Saclay', 'Université Paris-Saclay, CNRS']"
18,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,"['Pohang University of Science and Technology', 'Pohang University of Science and Technology', 'POSTECH']"
19,LLM-Powered Test Case Generation for Detecting Bugs in Plausible Programs,"['Nanyang Technological University', 'King’s College London, University of London', 'University College London, University of London', 'Peking University', 'Peking University', 'Peking University']"
20,Capture the Key in Reasoning to Enhance CoT Distillation Generalization,"['University of Chinese Academy of Sciences', 'Institute of Information Engeering']"
21,"How to Enable Effective Cooperation Between Humans and NLP Models: A Survey of Principles, Formalizations, and Beyond","['Sichuan University', 'Singapore Management University', 'Sichuan University', 'Sichuan University', 'National University of Singapore', 'York University and York University']"
22,Enhancing Hyperbole and Metaphor Detection with Their Bidirectional Dynamic Interaction and Emotion Knowledge,"['Wuhan University', 'National University of Singapore', 'Wuhan University', 'Wuhan University']"
23,"UniICL: An Efficient ICL Framework Unifying Compression, Selection, and Generation","['Shanghai Artificial Intelligence Laboratory and Harbin Institute of Technology', 'Soochow University, China', 'The Hong Kong Polytechnic University, The Hong Kong Polytechnic University']"
24,BelarusianGLUE: Towards a Natural Language Understanding Benchmark for Belarusian,"['Brno University of Technology', 'Independent', 'unaffiliated', 'Independent', 'Brno University of Technology']"
25,A Survey on Foundation Language Models for Single-cell Biology,"['The Hong Kong University of Science and Technology', 'Tencent', 'Tencent', 'Great Bay University', 'Westlake University', 'Tencent']"
26,RuleArena: A Benchmark for Rule-Guided Reasoning with LLMs in Real-World Scenarios,"['National University of Singapore', 'University of Arizona', 'Nanyang Technological University', 'UC Santa Barbara']"
27,Extending LLM Context Window with Adaptive Grouped Positional Encoding: A Training-Free Method,"['Tsinghua University, Tsinghua University', 'Kuaishou Technology', 'The University of Sheffield and University of Sheffield', 'Tsinghua University']"
28,Semantic Exploration with Adaptive Gating for Efficient Problem Solving with Language Models,"['Pohang University of Science and Technology', 'Pohang University of Science and Technology', 'POSTECH', 'POSTECH']"
29,HotelMatch-LLM: Joint Multi-Task Training of Small and Large Language Models for Efficient Multimodal Hotel Retrieval,"['Booking', 'Booking']"
30,Can Multimodal Large Language Models Understand Spatial Relations?,"['East China University of Science and Technology', 'East China University of Science and Technology', 'East China University of Science and Technology', 'SUN YAT-SEN UNIVERSITY']"
31,S3 - Semantic Signal Separation,"['Aarhus University', 'Aarhus University', 'Aarhus University', 'Aarhus University']"
32,TrimLLM: Progressive Layer Dropping for Domain-Specific LLMs,"['University of California, San Diego', 'University of California, San Diego', 'University of California, San Diego, Snowflake, Petuum, Inc and Carnegie Mellon University']"
33,JuStRank: Benchmarking LLM Judges for System Ranking,"['International Business Machines', 'International Business Machines', 'International Business Machines', 'IBM Research AI', 'International Business Machines']"
34,Generating Diverse Training Samples for Relation Extraction with Large Language Models,"['Nanjing University of Aeronautics and Astronautics', 'Nanjing University of Aeronautics and Astronautics', 'Nanjing University of Aeronautics and Astronautics']"
35,MultiSocial: Multilingual Benchmark of Machine-Generated Text Detection of Social-Media Texts,"['Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies']"
36,Efficient and Accurate Prompt Optimization: the Benefit of Memory in Exemplar-Guided Reflection,"['Beihang University', 'ByteDance Inc.', 'ByteDance Inc.', 'Beihang University']"
37,Evaluation of LLM Vulnerabilities to Being Misused for Personalized Disinformation Generation,"['Kempelen Institute of Intelligent Technologies and Copenhagen University', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies and Comenius University in Bratislava']"
38,EscapeBench: Towards Advancing Creative Intelligence of Language Model Agents,"['University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'Johns Hopkins University and Tsinghua University, Tsinghua University', 'University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'University of Illinois at Urbana-Champaign', 'Stevens Institute of Technology', 'Columbia University', 'University of Illinois, Urbana-Champaign']"
39,BPP-Search: Enhancing Tree of Thought Reasoning for Mathematical Modeling Problem Solving,"['OPPO', 'Huawei Technologies Ltd.', 'ByteDance Inc.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.', 'Huawei Technologies Ltd.']"
40,LACA: Improving Cross-lingual Aspect-Based Sentiment Analysis with LLM Data Augmentation,"['University of West Bohemia', 'University of West Bohemia', 'University of West Bohemia']"
