,affiliation,country
0,"A*STAR",[Singapore]
1,"Charles University Prague",[Czech Republic]
2,"Chinese Academy of Sciences",[China]
3,"Hebrew University of Jerusalem",[Israel]
4,"Institute of automation, Chinese academy of science",[China]
5,"McGill University",[Canada]
6,"Tsinghua University",[China]
7,"University of British Columbia",[Canada]
8,"University of Chicago",[United States]
9,"Chinese Academy of Sciences",[China]
10,01.AI,[China]
11,A*STAR,[Singapore]
12,A*STAR Centre for Frontier AI Research,[Singapore]
13,"A*STAR, I2R",[Singapore]
14,ADA University,[Azerbaijan]
15,AI Innovation Center,[Netherlands]
16,"AI Lab at Lenovo Research, Hangzhou Dianzi University and Northwest University",[China]
17,"AI Lab, Xiaomi Inc.",[China]
18,AI Singapore,[Singapore]
19,AI Singapore and Ateneo de Manila University,"[Singapore, Philippines]"
20,AI Sweden,[Sweden]
21,AI4Bharat,[India]
22,AIM Intelligence,[India]
23,AIM Intelligence and University of Seoul,[South Korea]
24,AIRI,[India]
25,AIRI and Moscow Institute of Physics and Technology,"[India, Russia]"
26,AIRI and Skolkovo Institute of Science and Technology,"[India, Russia]"
27,"AIRI, Artificial Intelligence Research Institute and Moscow Institute of Physics and Technology","[Spain, Russia]"
28,AISpeech Ltd,[China]
29,AITRICS,[South Korea]
30,AIWaves Inc.,[China]
31,AMD,[United States]
32,ASUS,[Taiwan]
33,AWS AI,[United States]
34,AWS AI Labs,[United States]
35,"AXA, CNRS and LIP6",[France]
36,Aalborg University,[Denmark]
37,Aarhus University,[Denmark]
38,Academia Sinica,[Taiwan]
39,Academy of Cyber,[United Kingdom]
40,Academy of Military Science,[China]
41,Académie d’Aix-Marseille,[France]
42,Accenture,[Ireland]
43,Adobe Research,[United States]
44,Adobe Systems,United States
45,Adobe Systems and University of Surrey,"[United States, United Kingdom]"
46,Advanced Micro Devices,[United States]
47,African University of Science and Technology,[Nigeria]
48,Ahmadu Bello University,[Nigeria]
49,Al Akhawayn University,[Morocco]
50,Alan Turing Institute and University of Cambridge,[United Kingdom]
51,Alfaisal University,[Saudi Arabia]
52,Alibaba,[China]
53,Alibaba Cloud,[China]
54,Alibaba Group,China
55,Alibaba Group US,[United States]
56,Alibaba Group and Alibaba Group,[China]
57,Alibaba Group and Kuaishou- 快手科技,[China]
58,Alibaba Group and Microsoft,"[China, United States]"
59,Alibaba Group and Zhejiang University,[China]
60,Alibaba International Digital Commerce Group,[China]
61,Alibaba-inc,[China]
62,All Hands AI and University of Illinois Urbana-Champaign,[United States]
63,Allen Institute for Artificial Intelligence,[United States]
64,Allen Institute for Artificial Intelligence and Department of Computer Science,[United States]
65,Allen Institute for Artificial Intelligence and University of Washington,[United States]
66,Amazon,[United States]
67,Amazon Web Services,[United States]
68,Amazon and Carnegie Mellon University,[United States]
69,"Amazon and Computer Science, George Mason University",[United States]
70,Amazon and Ludwig-Maximilians-Universität München,"[United States, Germany]"
71,Amazon and Tufts University,[United States]
72,Amazon and University of Cambridge,"[United States, United Kingdom]"
73,Amazon and University of Illinois Chicago,[United States]
74,Amazon and University of Liverpool,"[United States, United Kingdom]"
75,"Amazon, Siemens Corporate Research and University of Munich, Ludwig-Maximilians-Universität München","[United States, Germany]"
76,Amsterdam UMC,[Netherlands]
77,Anhui University,[China]
78,Answer.AI,[United States]
79,AnswerAi,[United States]
80,AnswerDotAI,[United States]
81,Ant Group,[China]
82,Ant Group and University of New South Wales,"[China, Australia]"
83,Ant Group and Zhejiang University,[China]
84,Ant International,[China]
85,Apple,United States
86,Apple AI/ML,[United States]
87,Apple Inc.,[United States]
88,Aristotle University of Thessaloniki,[Greece]
89,Arizona State University,[United States]
90,Arizona State University and Samsung Research,"[United States, South Korea]"
91,Artificial Intelligence Research Institute and Moscow Institute of Physics and Technology,"[Spain, Russia]"
92,Aston University,[United Kingdom]
93,Ateneo de Manila University,[Philippines]
94,Athens University of Economics and Business,[Greece]
95,Auburn University and Auburn University,[United States]
96,Austin Peay State University,[United States]
97,Australian National University and Singapore Management University,"[Australia, Singapore]"
98,Aveni,[France]
99,BAAI,[China]
100,BOSS Zhipin,China
101,Baichuan Inc.,[China]
102,Baidu,[China]
